State,Bedroom,Bathroom,Area,LotArea,Latitude,Longitude,ListedPrice
4,4.0,3.0,2720.0,0.2420798898071625,34.14432,-118.0745,1380000.0
34,4.0,6.0,4300.0,0.5091,35.600113,-97.57711,1379000.0
4,5.0,3.0,2377.0,0.3319559228650138,34.20236,-118.89059,1375000.0
42,5.0,8.0,4929.0,0.08,40.65382,-111.50451,1375000.0
9,5.0,5.0,4274.0,16.09,34.36136,-84.44896,1375000.0
29,4.0,3.0,3522.0,0.24,40.65847,-74.35725,1369999.0
28,4.0,5.0,4387.0,82.5,43.451794,-72.30493,1365000.0
7,4.0,4.0,2632.0,0.1800045913682277,38.5289,-75.06131,1354900.0
48,4.0,4.0,4074.0,13.46,42.77581,-106.310265,1350000.0
37,3.0,3.0,1862.0,0.3600091827364555,41.527008,-71.42337,1350000.0
24,5.0,4.0,5648.0,0.292,45.660686,-111.022125,1350000.0
3,3.0,2.5,3009.0,0.3564967860422406,33.54293,-112.03101,1350000.0
48,4.0,2.0,2175.0,82.0,44.940434,-105.14156,1350000.0
4,4.0,3.0,1655.0,0.1635674931129476,37.737633,-121.94888,1349000.0
24,3.0,2.0,1950.0,22.18,48.46683,-114.61536,1349000.0
11,3.0,4.0,5348.0,1.01,43.736355,-116.47564,1349000.0
11,3.0,3.0,2727.0,0.22,43.68414,-116.448616,1345000.0
18,4.0,4.0,3070.0,0.3899908172635445,39.017094,-76.531044,1340000.0
4,2.0,1.0,1028.0,0.0422,37.76128,-122.441475,1325000.0
4,3.0,2.0,1280.0,0.1262626262626262,37.640575,-122.44132,1325000.0
27,7.0,5.0,5369.0,0.52,40.774372,-96.60151,1325000.0
3,4.0,3.5,3377.0,0.1767676767676767,33.588863,-112.430115,1300000.0
4,3.0,1.0,1107.0,0.1217401285583103,34.026863,-118.43796,1300000.0
24,6.0,3.0,4398.0,0.64,46.850334,-114.089775,1300000.0
4,4.0,2.0,2140.0,0.2892561983471074,32.951187,-117.074615,1300000.0
11,4.0,3.0,3984.0,2.25,43.517693,-116.39165,1300000.0
42,6.0,4.0,4301.0,0.31,40.698036,-111.8194,1300000.0
0,2.0,3.0,1904.0,20.0498,58.29085,-134.43465,1300000.0
0,4.0,6.0,7200.0,1.08,61.075375,-149.69183,1300000.0
37,3.0,2.0,1086.0,0.099793388429752,41.49716,-71.367615,1300000.0
4,4.0,4.0,3634.0,0.32,36.352276,-119.35009,1299950.0
42,6.0,3.0,4201.0,0.64,40.406574,-111.816345,1299900.0
17,3.0,3.0,3412.0,1.073,41.59356,-70.51127,1299000.0
39,5.0,4.0,3300.0,25.92,43.9245,-103.30049,1299000.0
26,6.0,5.0,5826.0,1.0444,47.589985,-101.530174,1295900.0
30,4.0,5.0,4391.0,0.62,35.15021,-106.48443,1295000.0
17,4.0,3.0,2632.0,5.1,42.51761,-71.37382,1295000.0
46,3.0,3.0,3277.0,4.0,46.621326,-90.80761,1295000.0
46,4.0,3.0,3660.0,1.9699954086317724,46.223053,-89.769936,1294000.0
11,3.0,3.0,2631.0,0.89,43.580826,-116.66456,1293200.0
10,5.0,6.0,6058.0,1.21,41.674877,-91.531364,1290000.0
3,2.0,3.0,2423.0,0.98,34.590916,-112.44415,1289000.0
42,4.0,3.0,4137.0,0.24,40.493816,-112.06426,1284500.0
